Morphology: 
 
Verbs: 
singular, first, present, indicative: gghugh
dual, second, imperfect, imperative: yugh
dual, second, future, indicative: zehng
dual, second, future, subjunctive: sus
dual, second, future, optative: twung
dual, second, future, imperative: ugh
dual, second, perfect, indicative: suw
dual, second, perfect, subjunctive: yehng
dual, second, perfect, optative: khyes
dual, second, perfect, imperative: mey
dual, third, present, indicative: vuv
dual, third, present, subjunctive: vew
dual, third, present, optative: segh
dual, third, present, imperative: vum
dual, third, preterite, indicative: hnguv
dual, third, preterite, subjunctive: bwuv
dual, third, preterite, optative: meng
dual, third, preterite, imperative: hnges
dual, third, imperfect, indicative: ngugh
dual, third, imperfect, subjunctive: ngum
dual, third, imperfect, optative: zuh
dual, third, imperfect, imperative: wey
dual, third, future, indicative: ghuhng
dual, third, future, subjunctive: suz
dual, third, future, optative: kyey
dual, third, future, imperative: nguz
dual, third, perfect, indicative: huh
dual, third, perfect, subjunctive: yung
dual, third, perfect, optative: hung
dual, third, perfect, imperative: mev
plural, first, present, indicative: sez
plural, first, present, subjunctive: vuh
plural, first, present, optative: Gwez
plural, first, present, imperative: theng
plural, first, preterite, indicative: Ghngung
plural, first, preterite, subjunctive: huw
plural, first, preterite, optative: ngev
plural, first, preterite, imperative: huhng
plural, first, imperfect, indicative: ehng
plural, first, imperfect, subjunctive: gheng
plural, first, imperfect, optative: ghum
plural, first, imperfect, imperative: ghes
plural, first, future, indicative: ngeng
plural, first, future, subjunctive: Gzew
plural, first, future, optative: nguhng
plural, first, future, imperative: zem
plural, first, perfect, indicative: vey
plural, first, perfect, subjunctive: hngegh
plural, first, perfect, optative: 'zum
plural, first, perfect, imperative: uz
plural, second, present, indicative: sung
plural, second, present, subjunctive: Gyev
plural, second, present, optative: ev
plural, second, present, imperative: egh
plural, second, preterite, indicative: ngehng
plural, second, preterite, subjunctive: hngem
plural, second, preterite, optative: wugh
plural, second, preterite, imperative: he
plural, second, imperfect, indicative: zeh
plural, second, imperfect, subjunctive: kvuz
plural, second, imperfect, optative: wum
plural, second, imperfect, imperative: 'hngehng
plural, second, future, indicative: ghuz
plural, second, future, subjunctive: ngem
plural, second, future, optative: zez
plural, second, future, imperative: thhew

Noun Declension: 
singular, vocative: hngehng
singular, instrumental: huv
singular, ablative: wugh
singular, genitive: ghey
dual, vocative: uhng
dual, instrumental: tmes
dual, ablative: nguhng
dual, genitive: ehng
plural, vocative: muz
plural, instrumental: hngugh
plural, ablative: muy
plural, genitive: hez
collective, vocative: hngum
collective, instrumental: zehng
collective, ablative: zem

Derivational Morphology:
adjective to adverb: -wung

Phonology: 
 
Consonants: 
b, d, g, G, th, kh, t, k, ', m, v, z, y, gh, ng, s, hng, w, h
Vowels: 
e, u

Syntax:
indirect object - verb - subject - direct object
Head Final
 
Lexicon: 
be: zehng
the: Gwugh
to: huy
a: ghey
and: yuhng
I: zuw
in: uy
of: meng
that: nguvghey
you: suzu
do: vegh
for: wuhng
have: kmey
he: ngev
it: wuh
not: hnguhng
on: sew
with: thmum
as: hegh
at: ngez
but: hngegh
by: gheh
from: uzmeh
get: wev
go: gvuz
his: sehuy
know: mehmeh
or: tmum
say: muw
she: ez
they: nguvugh
this: nguvvum
we: yuw
what: uh
about: gheymehnguv
all: hew
can: hem
come: zes
could: ngughugheh
good: segh
if: sung
just: mew
like: nguy
look: 'wuv
make: wew
more: ey
my: ghuy
no: uv
now: ngung
one: ngev
other: wem
out: thzuw
right: yum
see: yeh
so: yey
some: zes
take: nguy
their: nguvughuh
there: vem
think: zuhng
time: hugh
up: um
want: 'vehng
well: us
when: ghusugh
which: hegh
who: bugh
will: wuv
would: ghusugheh
year: veng
your: zeng
after: nguhng
also: gheyuy
any: egh
back: uhng
because: wumngughuugh
before: wumuzuh
call: vuy
day: hnges
down: mem
even: tugh
find: uzzey
first: uzuhnguv
give: hngew
here: ye
how: he
into: vumnguv
its: zeng
life: dghez
little: em
man: mugh
many: mezzey
may: eng
mean: suz
most: ghew
much: hum
need: zeyugh
new: khhew
oh: us
okay: mehghey
only: mehmuy
our: dwew
over: hnges
people: mum
real: vew
should: uymehmuy
something: uymeznguvvumey
still: gheh
talk: seng
tell: ugh
than: zum
then: nguvugh
thing: hngev
through: nguvuhuseh
too: nges
try: Geng
two: hey
use: wey
very: hngeng
way: ghuw
where: Gzuw
why: ghussuz
work: muv
yeah: suzghey
again: gheygheyzey
against: gheygheyzeynguv
although: gheynguvmehey
always: gheyghussuz
American: zuz
another: gheymehsehuh
anything: gheysuzsehzey
around: gheymehzey
ask: zeng
away: gheyghey
bad: mem
become: wumngughmez
begin: wumeyzey
believe: wummuyughugh
between: wumnguvughzey
big: huy
both: wumnguv
bring: wumvumey
care: ngeng
case: ev
change: ev
child: nguz
city: suy
close: muh
company: ngughmezgheysuz
country: su
course: ngum
different: ghehuzughughnguv
during: ghehuhzey
each: ez
early: zuv
end: us
ever: ghuh
every: suw
face: uh
family: uzmezmuy
far: huw
father: ehng
feel: em
few: uzghus
friend: uzvumzey
government: eyksumuhmezzey
great: eyughnguv
group: eymehhnguhng
hand: yez
happen: guy
head: yegh
hear: zehng
help: ghegh
high: ghum
hold: ngev
home: hev
house: suy
include: vumngughuugh
interest: vumnguvuhuy
keep: vegh
large: muyuhugh
last: ngehng
late: dyuz
leave: muygheyugh
let: vehng
live: zev
long: uw
lose: veh
lot: eh
love: zung
maybe: mezsuzugh
might: mezeynguv
money: huhng
mother: hung
move: mezksum
must: mezuy
name: ngung
never: zeyksumuh
next: muz
night: suz
nothing: zeynguvvumey
number: zeymezugh
off: hngus
old: ung
open: hnges
own: yes
part: es
place: ghez
plan: nguhng
play: sum
point: mes
power: ghew
president: hnguhngughvumughnguv
problem: hnguhngmehmuymez
program: hnguhngmehuhmez
put: hngehng
question: heh
report: zeng
room: 'uh
run: ngem
same: hus
school: hnguhng
second: hey
seem: uyugh
set: hngugh
show: uw
since: uyzeyugh
small: meh
start: uygheynguv
state: ghung
stop: sem
student: uyuughnguv
study: zehng
such: bhegh
sure: uyuh
system: uyuyugh
thank: nguvgheymeh
three: ghum
today: nguvghehsuz
turn: nguv
under: nguy
until: unguvmuy
wait: uv
week: zus
while: wum
without: ghusnguvmehnguv
woman: uhng
world: hngeng
yes: suzuy
able: vuy
across: gheyuhuy
act: zuy
actual: yu
add: gheygheh
age: khhem
ago: gheymeh
air: huz
allow: meh
almost: gheymezuy
along: ghuhng
already: gheyuhgheysuz
among: gheymehey
answer: me
appear: gheyhnguhngghey
area: gheyugh
arm: mung
art: hngegh
baby: yeng
base: wev
behind: wumsehzey
black: vez
body: vuv
book: uw
boy: heng
break: ngew
business: wumuyzeyuy
buy: egh
car: zuv
cause: muhng
center: um
certain: gheng
class: yuh
clear: ngu
college: ngughmuyughugh
color: suz
community: ngughmezuvumsuz
complete: wew
concern: hey
consider: dmes
continue: ngughzeyvumu
control: hum
cost: zehng
court: hngung
cover: zes
create: ves
cut: bhez
deal: bwum
death: thev
decide: ghehngughgheh
decision: ghehngughuymeh
design: ghehuyey
develop: gheng
development: ghehksummuyhnguhngughnguv
die: Gzegh
door: hnguw
drive: ghehvumugh
easy: egh
economic: suhng
education: ughugheyvumzey
effect: ughuzngugh
either: ughnguvugh
else: ughuy
enough: ughmehey
everything: ughughsuzsehzey
exact: hngus
expect: ngem
experience: ughhnguhnguhughngugh
eye: hngegh
fact: vung
fall: seh
fight: hev
figure: egh
final: hev
fine: zuhng
five: ung
follow: uzmuymeh
food: zeh
foot: ngum
force: ghegh
form: wung
four: sew
free: ugh
front: hngum
full: ngeh
future: uznguvuh
game: byuhng
general: eh
girl: dmes
grow: eymeh
guy: uv
half: mes
happy: vegh
hard: uhng
health: sehgheynguv
heart: mugh
hey: mum
himself: sehmezughuz
history: sew
hit: eng
hope: sehhnguhng
hour: sehu
however: sehghusksumuh
human: seng
idea: zeh
important: vumhnguhnguhgheynguv
increase: vumngughughuy
individual: vumghehksumghehghey
information: vumuzuhgheyvumzey
involve: vumksummuyugh
issue: vumuyugh
job: mey
kid: megh
kill: thzeng
kind: hes
law: yuz
lead: zeh
learn: muygheyzey
less: ugh
level: gzehng
lie: zuz
light: ghegh
line: zev
listen: mez
local: muyngughmuy
low: ngem
major: mezhuvuh
market: mehng
matter: meznguvugh
meet: mezugh
member: mezmezugh
million: mezmuyvumzey
mind: um
minute: zuy
model: hes
mom: kmeng
moment: mezmezzey
month: dsuv
morning: ghuv
music: ghuv
national: vuv
near: wem
news: bhez
note: zum
offer: bem
office: ngeh
official: sung
often: mehnguvzey
once: wuhng
order: wung
outside: mehnguvvumugh
parent: gheng
particular: hnguhnguhvumughey
party: vung
pass: hung
past: suy
patient: wugh
pay: mew
percent: zev
perhaps: hnguhnguhgheyuy
person: knges
pick: uv
please: vugh
police: Gwem
policy: yus
political: zugh
possible: hngem
present: zeh
price: uz
probable: hnguhngmehgheymuy
process: yuy
provide: hnguhngmehvumugh
public: zugh
pull: uw
quick: wuz
quite: dseng
raise: ghes
rate: tngew
rather: uhnguvugh
reach: uhgheyseh
read: hnguh
reason: uhgheymeh
recent: uhngughzey
record: uhngughuh
relationship: nguz
remain: uhmezvum
remember: uhmezmezugh
require: uhhuzuh
research: uhuygheyngugh
rest: ez
result: vuw
return: uhnguvuh
sell: yuhng
send: eng
sense: ez
serve: ew
service: uyuhvumugh
several: uyksumuhmuy
share: uygheyugh
side: uh
sign: yeh
simple: uymezmuy
sit: wuy
six: vuw
social: zez
someone: uymezmehugh
sometimes: uymeznguvmezuy
son: uyzey
soon: uymeh
sorry: uyuhsuz
sound: uh
speak: nguhng
spend: heh
stand: muh
stay: wegh
step: sum
story: wugh
street: vugh
strong: uh
success: ngus
suggest: uyeyughnguv
support: uyhnguhngmehnguv
table: khmez
teacher: sey
team: wuh
term: mum
test: vey
together: nguveynguvugh
top: zung
toward: nguvghusuh
town: nguvghus
train: nguvgheyzey
true: nguvu
uh: meh
understand: ughehuhnguvzey
university: uvumughuynguv
view: seng
voice: zuy
walk: nguhng
war: suhng
watch: mem
water: seng
whether: ghusughsehuh
white: eh
whole: hung
wife: muz
win: eng
within: ghusnguvvum
wonder: ghuszeyugh
word: zeh
worry: ghusuhsuz
write: ghusvumugh
wrong: huy
yet: suznguv
young: suzuey
ability: uw
above: gheymehugh
absolute: gheyuymuynguv
accept: gheyngughhnguhng
according: gheyngughuhvumey
account: nguz
action: sey
activity: vung
address: gheyghehughuy
administration: gheymezzeyuyuhnguvmeh
admit: gheymeznguv
affect: hngez
agency: gheyughngugh
agree: uv
ahead: gheyughgheh
alone: gheymehugh
amount: heh
analysis: gheygheysuzvum
animal: gheyvumghey
anyone: gheysuzzey
anyway: gheysuzghey
apply: gheyhnguhngsuz
approach: gheyhnguhngmehngugh
argue: gheyeyugh
army: gheymez
arrive: gheyuhksum
article: hngey
artist: gheynguvuy
associate: gheyuyngughgheyugh
association: gheyuyngughgheyvumzey
attack: gheynguvngugh
attempt: gheynguvmeznguv
attention: gheynguvzeyvumzey
author: gheynguvmeh
authority: gheynguvmehvumsuz
available: gheygheymuywumugh
average: gheyughgheyugh
avoid: gheymehgheh
bank: wus
bar: heng
basic: wumuyngugh
bear: suhng
beat: wumghey
beauty: wumgheynguv
bed: ehng
behavior: gmew
benefit: wumzeyuznguv
beyond: wumsuzzey
bill: nguhng
billion: wummuyvumzey
block: hngum
blood: uh
blue: huy
board: vuz
box: key
British: khhngehnguvuy
brother: ey
build: suhng
campaign: ngughmezgheyey
card: hew
career: ghegh
carry: yew
catch: zeng
cell: yez
central: 'hes
century: ngughzeyusuz
challenge: ngughgheymuyzeyugh
chance: wugh
character: ngughgheygheynguvuh
charge: sum
check: hngus
chief: dhngey
choice: ngughmehngugh
choose: ngughmehuy
church: tghugh
claim: vehng
clean: ngughughzey
club: ev
coach: ehng
cold: ngughmuy
committee: ghez
common: yeh
compare: ngughmezgheyugh
computer: zey
condition: ngughzeyvumvumzey
congress: ngughzeyuhuy
contact: ngughzeygheynguv
contain: wuv
cool: hnguv
council: muv
count: wehng
county: ngughunguv
couple: uh
crime: ngughvumugh
cry: uh
culture: ngughmuyuugh
cup: veng
current: ngughuhughnguv
dad: khngus
dance: yuhng
dark: ghehuh
data: ung
date: uz
daughter: ngey
dead: wugh
decade: ghehngughgheh
deep: sez
defense: ghehuzzeyugh
degree: gheheyugh
demand: ghehmezzey
department: ghehhnguhnguhmezzey
describe: ghehuyuhwum
despite: ghehuyvumugh
detail: ghehnguvvum
determine: ghehnguvuhvumugh
difference: wuw
difficult: ghehuzvumunguv
direct: bwev
director: ghehuhngughmeh
discuss: sehng
disease: ghehuygheyugh
district: ghehuyuhngugh
doctor: ghehngughmeh
dog: sehng
draw: yus
dream: sew
dress: yeh
drink: ghehvummeh
drop: gheh
drug: vus
earth: nguh
east: zehng
eat: ughnguv
economy: ughmehmehsuz
effective: hnguw
effort: ughuzuh
eight: hngew
election: ughughnguvmeh
energy: ughughey
English: ngumseh
enjoy: ughhuvsuz
enter: ugh
entire: ughnguvuh
environment: ughksumuhzeyughnguv
environmental: suw
especially: ughhnguhngngughgheymuy
establish: ughnguvwumvumseh
evening: ughughvumey
event: ughughnguv
everybody: ughughsuzmehsuz
everyone: ughughsuzzey
evidence: ughvumughngugh
example: ughgheyhnguhngugh
executive: ughughuvumugh
exist: wes
explain: ughhnguhnggheyzey
factor: uzngughmeh
fail: 'huw
fair: ghuz
fast: vuv
fear: ey
feature: uzgheyuugh
federal: su
female: uzmezmuy
field: vegh
fill: uzmuy
film: he
financial: uzzeyzeyvummuy
finish: uzzeyuy
fire: hev
firm: yeh
fish: hngey
fit: yus
floor: wey
fly: dez
focus: ghew
foreign: uzuhvumzey
forget: uzuhugh
former: yem
forward: uzuhgheygheh
fun: uzzey
fund: huy
gain: yuy
glass: thhngum
goal: hngev
green: zehng
growth: zugh
guess: ugh
gun: huz
hair: hngez
handle: meng
hang: hes
hate: bsehng
heat: muz
heavy: uv
hell: zem
herself: sehuhughuz
hi: hus
hide: ev
hospital: sehuyvumghey
hot: um
hotel: sehnguvmuy
huge: sehey
hundred: sehzeyuhgheh
hurt: ngehng
husband: sehuygheygheh
identify: ez
image: vumgheyugh
imagine: vumgheyvumugh
immediate: vummezghehgheyugh
improve: vumhnguhngmehugh
indeed: vumghehugh
indicate: huy
industry: vumghehuyuh
influence: vumuzuzeyugh
inside: vumuygheh
instead: vumuyughgheh
international: ey
interview: vumnguvuhvumghus
island: vummuyzey
itself: vumuymuy
join: huvvum
judge: khngus
key: ev
knowledge: wus
labor: gnges
lack: ehng
lady: zus
land: ghuz
language: muyzeyuey
laugh: muyuseh
lawyer: muyghusugh
lay: hngung
leader: sehng
leg: hngey
legal: ghuhng
letter: eh
likely: suhng
limit: muymeznguv
list: wew
loss: hnguv
main: dhngum
male: ghugh
manage: mezzeyey
management: zes
manager: mezzeyeyuh
march: mezuhseh
marriage: 'ghuh
marry: hehng
material: vuhng
measure: mezgheyuugh
media: mezghehghey
medical: gheh
memory: mezmezuh
mention: mezzeyvumzey
message: mezuygheyugh
method: meznguvmeh
middle: mezghehmuy
mile: ngev
military: mezmuynguvuh
minister: ew
miss: ghes
mistake: mezuygheyugh
mouth: Gvus
movement: mezksummezzey
movie: eng
murder: mezuhugh
myself: mezuymuy
nation: huz
natural: wew
nature: zeynguvuh
necessary: vugh
network: zeynguvmehmeh
nice: zeyngugh
normal: uh
north: muw
notice: yev
obvious: mehksummehuy
occur: mehngughuh
officer: mehuzngughuh
oil: yes
operation: mehughgheyvumzey
opportunity: mehhnguhnguhuvumsuz
organization: meheyzeyuvnguvmeh
original: huv
page: wuw
pain: hnguhngvum
paper: yum
park: hngegh
peace: mey
per: vus
perfect: seh
performance: yugh
period: hnguhnguhmeh
personal: ngey
phone: ghem
photo: hem
photograph: hnguhngmehmehuhhnguhng
physical: uhng
picture: hnguhngngughuugh
piece: mus
plant: hnguhnggheynguv
player: mehng
poor: hnguhngmeh
population: hnguhnghnguhngmuynguvmeh
position: hugh
positive: hnguhnguynguvksum
potential: hnguhngnguvzeyvummuy
practice: hnguhnggheynguvngugh
prepare: hnguhngughgheyugh
press: eh
pressure: hnguhngughuyuh
pretty: hnguhngughnguv
previous: hnguhngughvumu
primary: hnguhngvumgheysuz
private: hnguhngvumgheyugh
produce: suh
product: yus
professional: suv
project: zuhng
promise: es
property: hnguhngmehughnguv
protect: veh
prove: hnguhngmehugh
purpose: vuhng
push: vuv
quality: weh
quiet: huh
race: 'huhng
range: hngeh
ready: mez
realize: uhgheyvumugh
receive: uhngughvumugh
recognize: uhngugheyvumugh
red: ew
reduce: uhghehngugh
regard: uheyuh
region: uheymeh
relate: uhmuynguv
relative: ghez
release: uhmuygheyugh
represent: uhhnguhngughughnguv
republican: hngus
resource: uhuyungugh
respect: tmehng
response: uhuymehuy
review: uhksumugh
ride: yus
ring: yev
rise: mehng
risk: hev
river: seh
road: vev
rock: hnguhng
role: yev
roll: yugh
round: ngez
rule: hus
safe: ev
sale: uymuy
save: uyksum
scene: khuy
science: seng
score: hew
search: uygheyngugh
season: uygheymeh
seat: megh
secret: ey
section: uyngughvumzey
security: uyngughuhnguv
seek: mehng
separate: uyhnguhnguhnguv
series: seng
serious: uyuhmehuy
seven: suh
sex: hung
shake: 'ghuv
shape: uygheyugh
shoot: vuz
shop: hew
short: meng
significant: uyeyvumvumgheynguv
similar: uymezmuyuh
single: uyzeymuy
sister: 'hngev
site: yey
situation: uynguvgheyvumzey
size: nguy
skill: uyvummuy
sleep: yuw
slow: mez
smile: uyvumugh
society: uyngughughsuz
somebody: uymezwumgheh
sort: hey
source: hngev
south: ey
space: ghugh
special: nguv
specific: wez
sport: uymehnguv
spring: hew
staff: ew
stage: hung
standard: zev
star: ugh
statement: dyuz
station: uygheyvumzey
stick: Gsegh
stock: mehng
store: yuw
strategy: uyuhnguvey
strike: nguw
structure: ev
stuff: sez
style: hngugh
subject: uywumughnguv
sudden: uyghehugh
summer: wey
sun: nguw
surprise: uyuhuhuy
tax: kmuhng
teach: nguvgheyseh
technology: nguvngughzeymuyey
ten: eh
themselves: nguvughuymuyugh
theory: nguvughuh
third: nguvvumgheh
thousand: nguvmehuyzey
throw: nguvuhghus
thus: ung
tonight: nguvzeyeynguv
total: wehng
touch: Gnguv
track: nguvgheymeh
trade: ngum
traditional: gheng
travel: nguvgheyugh
treat: gheh
treatment: hngehng
tree: huv
trip: yuv
trouble: nguvmehwumugh
trust: nguvunguv
truth: hus
type: ev
union: ew
unit: uvum
upon: umeh
usual: segh
value: yuv
various: ksumuhmehuy
visit: hnges
vote: nguh
wall: yum
wear: ghusghey
welcome: ghusmuymehugh
west: vum
whatever: ghusgheyughugh
whose: ghusmehugh
wide: vey
wind: ngung
window: ghum
wish: ghusuy
worker: egh
worth: es
yourself: suzuuymuy
abuse: gheyuugh
academic: gheygheyughvum
access: gheyngughuy
accident: gheyngughghehzey
accuse: gheyngughuy
achieve: gheysehughugh
active: sev
actor: gheynguvuh
addition: gheyghehnguvmeh
additional: gheyghehnguvmehghey
adopt: weh
adult: zum
advance: gheyksumzeyugh
advantage: gheyksumzeygheyugh
advice: gheyksumngugh
affair: gheyuzvum
afraid: gheyuhvum
African: muzuhngughzey
afternoon: gheynguvuhmehzey
agent: gheyughnguv
agreement: gheyuhughughnguv
ah: ngew
aid: wegh
aim: kghegh
alive: gheyvumugh
alternative: gheynguvuhgheyvumugh
amaze: gheygheyugh
angry: gheyeysuz
announce: gheyzeyungugh
annual: wuv
anybody: gheysuzmehsuz
anymore: gheysuzmehugh
anywhere: gheysuzsehuh
apart: gheygheynguv
apartment: gheygheynguvughnguv
apparent: gheyhnguhnguhzey
appeal: gheyhnguhngghey
application: gheyhnguhngvumgheyvumzey
appreciate: gheyhnguhngughvumnguv
appropriate: gheyhnguhngmehuhgheyugh
April: muzuhmuy
argument: ghegh
arrest: gheyuhuy
aside: gheyvumugh
aspect: gheyhnguhngngugh
assessment: hnguh
assistant: gheyuyuygheynguv
assume: gheyuymez
attend: ghnguhng
attitude: gheynguvnguvgheh
attorney: gheynguvuhugh
audience: gheyghehughngugh
august: gheyeyuy
award: sum
aware: gheygheyugh
background: wumngugheymehzey
bag: sung
balance: wummuyzeyugh
ball: sehng
band: yem
baseball: wumuywummuy
basis: wumuyuy
battle: sung
bay: vez
beach: ew
belief: uhng
belong: wummuyzey
below: wummuyghus
bet: wew
bird: yem
birth: hnguw
blame: wumgheyugh
blow: ngey
boat: um
bomb: wummez
bond: heh
bone: zeh
border: huv
born: hev
bother: wumnguvugh
bottle: mehng
bottom: yugh
bowl: wumghus
brain: ev
branch: wumgheyngugh
breath: ngehng
breathe: wumughnguvugh
bridge: hngugh
brief: huh
bright: wumvumseh
broad: ghuv
brown: dum
budget: wumghehugh
burn: khegh
bus: ghes
busy: wumuy
calm: thghez
camera: ngughmezuh
camp: thhngem
cancer: em
candidate: ngughzeyvumgheyugh
capital: uy
cash: ngughuy
cast: us
category: ngughnguveyuh
catholic: ngughnguvmehvum
celebrate: ngughmuywumgheyugh
cent: eng
chair: wev
chairman: ngughgheyuhghey
chapter: ngughgheynguvuh
characteristic: ngughgheygheynguvuhuyvum
chemical: muv
chicken: ngughvummehzey
Chinese: ghengughugh
christian: nguv
Christmas: musuy
circle: es
circumstance: ngughuhuuygheyngugh
citizen: ngughnguvuvzey
civil: beng
classroom: ngughgheyuymehmez
client: ngughvumzey
climb: ngughvumwum
clothes: tghuh
coast: vez
code: wey
coffee: kzuw
colleague: ngughmuyugheyugh
collect: mum
collection: ngughmuyughnguvmeh
combine: yuz
comfortable: ngughmezmehnguvwumugh
comment: ngughmezughnguv
commercial: yeng
commission: ngughmezvumuymeh
commit: mez
commitment: ngughmezvummezzey
communication: ngughmezuvumgheyvumzey
competition: ngughmezughvumvumzey
complex: ngughmezmuydhuhhuh
concept: ngughzeyughnguv
conclusion: ngughzeymuyuymeh
conduct: hus
conference: ngughzeyughughngugh
confirm: ngughzeyvummez
conflict: ngughzeymuyngugh
connect: zem
connection: ngughzeyughnguvmeh
consequence: ngughzeyughuzeyugh
conservative: ngegh
consistent: ngughzeyvumnguvzey
constant: ngughzeynguvzey
construction: ngughzeynguvunguvmeh
consumer: huz
content: yugh
context: ngughzeyughnguv
contract: yuw
contrast: ngughzeyuhuy
contribute: ngughzeyuhwumnguv
conversation: ngughzeyughuynguvmeh
convince: ngughzeyvumngugh
cook: yuz
cop: ngughhnguhng
copy: vuv
corner: ngughuhugh
correct: ew
crash: ngughgheyseh
crazy: ngughgheysuz
credit: 'weh
criminal: ngughvumvumghey
crisis: ngughvumvum
critic: hehng
critical: yuw
cross: nguv
crowd: nguz
cultural: ngem
customer: ngughuymehugh
daddy: ghehghehsuz
daily: ghehvumsuz
damage: ghehmezey
damn: nguh
danger: ghehzeyugh
dangerous: ghehzeyughmehuy
dear: ghehghey
debate: ghehwumnguv
debt: ngung
December: zuhngmezugh
decline: ghehngughvumugh
defend: vuw
define: ghehuzzey
definite: ghehuzzeynguv
deliver: vuz
democracy: ghehmezngughgheysuz
democrat: ghehmezngughghey
democratic: ghehmezngughgheyvum
demonstrate: ghehmezzeynguvgheyugh
deny: ghehzey
depend: ghehhnguhngzey
deserve: ghehuyuhugh
desire: ghehuyuh
desk: zus
destroy: ghehuyuhsuz
device: ghehksumngugh
difficulty: ghehuzvumunguv
dinner: ugh
direction: ghehuhngughvumzey
disappear: ghehuyhnguhngughuh
discover: mew
discussion: ghehuyuuymeh
display: ghehuymuysuz
distance: ghehuygheyngugh
divide: hez
division: ghehksumuymeh
divorce: ghehksumuhugh
document: ghehngughmezzey
dollar: mev
domestic: ghehmezuyvum
double: zegh
doubt: vez
dozen: ghehuvzey
dramatic: ghehgheygheyvum
driver: ghehvumugh
dry: us
due: mey
duty: zew
ear: ghegh
earn: ghuz
eastern: ughuyughzey
edge: vuz
editor: ughvummeh
educational: ughugheyvumzeymuy
egg: ughey
element: ughughughnguv
email: ughgheymuy
emerge: ughughey
emergency: ughugheyzeysuz
emotional: vuy
employee: ughhnguhngmehugh
empty: ughhnguhngsuz
encourage: ughngughugheyugh
enemy: ughughsuz
engage: ugheyey
engine: ugheyzey
engineer: ugheyzeyugh
ensure: ughuyuh
equal: byuh
equipment: ughuhnguhngughnguv
escape: ughngughhnguhng
essential: thyez
estate: ughnguvnguv
estimate: ughnguvmeznguv
European: meghmegh
eventual: ughughnguvghey
examine: ughgheyvumugh
except: ughngughhnguhng
exchange: thngew
excite: ughngughnguv
excuse: ughngughuy
exercise: ughughngughuy
expand: ghum
experiment: ughhnguhnguhmezzey
expert: ughhnguhnguh
explore: ughhnguhngmehugh
express: zem
expression: huz
extend: ughnguvzey
extent: ughnguvzey
extra: hngev
extreme: ughnguvughugh
facility: uzngughmuynguv
failure: uzvumuugh
faith: tghev
